RTO,Latitude,Longitude
NAWADA,24.88333333,85.58333333
NEEMUCH DTO,24.45,74.86666667
NOHAR DTO,29.18333333,74.81666667
PALI RTO,25.76666667,73.41666667
PANNA DTO,24.73333333,80.23333333
PANRUTI UO,11.78333333,79.58333333
PARBHANI,19.13333333,76.08333333
PATAUDI,29.46666667,76.61666667
PATNA,25.61666667,85.21666667
PEHOWA,28.2,74.9
PERAMBALUR RTO,11.23333333,78.93333333
PHALODI DTO,27.15,72.4
PHALTAN,18,74.48333333
PIPAR CITY DTO,26.36666667,73.58333333
POLLACHI RTO,10.65,77.05
PONNANI SRTO,10.78333333,75.96666667
PORBANDAR,21.61666667,69.81666667
PUNE,18.51666667,73.91666667
PUTTUR RTO,12.75,75.01666667
RAIPUR RTO,21.25,81.68333333
RAISEN DTO,23.25,77.08333333
RAJAPALAYAM UO,9.45,77.6
RAJKOT,22.3,70.93333333
RAMANATHAPURAM RTO,9.366666667,78.86666667
RAMGARH,28.01666667,75
RANIBENNUR ARTO,14.55,75.68333333
RATLAM DTO,23.51666667,75.11666667
REWARI,29.73333333,76.63333333
RLA BILASPUR,22.08333333,82.21666667
RLA DHARAMPUR,20.53333333,73.21666667
RLA SHAHPUR,21.21666667,76.25
RLA UDAIPUR,27.7,75.55
ROHTAK,30.01666667,75.28333333
RTA AMBALA,30.35,76.86666667
"RTA, GURGAON",28.61666667,77.06666667
"RTA, KARNAL",28.26666667,77.08333333
RTO AKOLA,20.7,77.03333333
RTO BILASPUR,22.08333333,82.21666667
RTO CHANDRAPUR,19.95,79.35
RTO JALGAON,21.08333333,75.66666667
RTO LATUR,18.4,76.6
RTO SATARA,17.7,74.03333333
SAHARSA,25.91666667,86.58333333
SALEM (EAST) RTO,11.65,78.2
SALEM (SOUTH) RTO,11.65,78.2
SALEM (WEST) RTO,11.65,78.2
SALUMBAR DTO,24.15,74.08333333
SAMASTIPUR,25.91666667,85.08333333
SANGLI,16.86666667,74.6
SATNA ARTO,24.56666667,80.91666667
SEHORE DTO,23.2,77
SEONI ARTO,22.1,79.58333333
SHAHDOL RTO,23,81.05
SHAJAPUR DTO,23.43333333,76.3
SHEOPUR DTO,25.65,76.68333333
SHIVPURI DTO,25.06666667,77.73333333
SIDHI DTO,24.03333333,82.65
SIKAR RTO,27.6,75.25
SOUTH DELHI,21.5,82
TENKASI RTO,8.966666667,77.35
THANE,19.2,73.03333333
TINDIVANAM RTO,12.23333333,79.7
TINSUKIA,27.5,95.36666667
TIRUNELVELI RTO,8.733333333,77.73333333
TIRUPPUR (NORTH) RTO,11.08333333,77.33333333
TIRUPPUR (SOUTH) RTO,11.08333333,77.33333333
TIRUVALLUR RTO,13.15,79.95
TIRUVANNAMALAI RTO,12.25,79.11666667
TONK DTO,26.18333333,75.83333333
TUMKUR RTO,13.33333333,77.13333333
UDAIPUR RTO,27.7,75.55
UDGIR,18.41666667,77.16666667
UJJAIN RTO,23.15,75.71666667
UMARIA DTO,23.5,80.88333333
VAIJAPUR,19.98333333,74.8
VANIYAMBADI RTO,12.68333333,78.65
VELLORE RTO,12.91666667,79.18333333
VERAVAL,20.88333333,73.43333333
VIDISHA DTO,23.53333333,77.85
VIRUDHUNAGAR RTO,9.583333333,77.95
